issue,experiment_slug,variant,seed,metric,value,params,date
8,008-denser-collocation,lbfgs_num_bands4,0,relative_l2,0.822,"{""num_bands"":4,""n_collocation"":200}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,1,relative_l2,0.851,"{""num_bands"":4,""n_collocation"":200}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,0,relative_l2,0.090,"{""num_bands"":4,""n_collocation"":1000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,1,relative_l2,0.143,"{""num_bands"":4,""n_collocation"":1000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,0,relative_l2,0.098,"{""num_bands"":4,""n_collocation"":2000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,1,relative_l2,0.104,"{""num_bands"":4,""n_collocation"":2000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,2,relative_l2,0.096,"{""num_bands"":4,""n_collocation"":2000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,7,relative_l2,0.065,"{""num_bands"":4,""n_collocation"":2000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,0,relative_l2,0.142,"{""num_bands"":4,""n_collocation"":3000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,1,relative_l2,0.163,"{""num_bands"":4,""n_collocation"":3000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,0,relative_l2,0.055,"{""num_bands"":4,""n_collocation"":4000}",2026-07-15
8,008-denser-collocation,lbfgs_num_bands4,1,relative_l2,0.129,"{""num_bands"":4,""n_collocation"":4000}",2026-07-15
12,012-point-draw-variance,lbfgs_point_draw,100,relative_l2,0.0708,"{""num_bands"":4,""n_collocation"":2000,""model_seed"":0,""hidden"":32}",2026-07-16
12,012-point-draw-variance,lbfgs_point_draw,101,relative_l2,0.0413,"{""num_bands"":4,""n_collocation"":2000,""model_seed"":0,""hidden"":32}",2026-07-16
12,012-point-draw-variance,lbfgs_point_draw,102,relative_l2,0.0591,"{""num_bands"":4,""n_collocation"":2000,""model_seed"":0,""hidden"":32}",2026-07-16
12,012-point-draw-variance,lbfgs_point_draw,103,relative_l2,0.1446,"{""num_bands"":4,""n_collocation"":2000,""model_seed"":0,""hidden"":32}",2026-07-16
12,012-point-draw-variance,lbfgs_point_draw,104,relative_l2,0.0715,"{""num_bands"":4,""n_collocation"":2000,""model_seed"":0,""hidden"":32}",2026-07-16
12,012-point-draw-variance,lbfgs_point_draw,100,relative_l2,0.1657,"{""num_bands"":4,""n_collocation"":4000,""model_seed"":0,""hidden"":32}",2026-07-16
